" Wholesale vegetable prices, organic and conventional, monthly and annual, 2012",,,,,,,,,,,,,,,,,,,
Commodity,Subgroup,Package,Organic/ Conventional,Terminal Market,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,2012,,
"Tomatoes, Cherry",no Pear type,no Flats 12 1/2 pt cups with lids,Conv,Atlanta,11.71,9.91,11.16,10.82,12.51,16.89,17.06,14.39,15.37,17.14,13.24,14.02,13.94,,
"Tomatoes, Cherry",no Pear type,no Flats 12 1/2 pt cups with lids,Org,Atlanta,N\A,N\A,N\A,26.17,27.64,N\A,N\A,N\A,N\A,29.70,N\A,N\A,27.76,,
"Tomatoes, Cherry",no Pear type,Flats 12 1-pt cups with lids,Conv,San Fran,N\A,N\A,N\A,11.50,11.50,N\A,N\A,16.00,N\A,N\A,N\A,N\A,15.10,,
"Tomatoes, Cherry",Pear type,Flats 12 1/2 pt cups with lids,Org,San Fran,40.63,35.70,35.15,33.25,36.85,38.88,35.50,36.87,37.00,41.14,44.00,49.83,37.93,,
Sweet Potatoes,Orange types,"40 lb cartons, U.S. No 1",Conv,Atlanta,20.14,19.99,19.51,19.25,19.00,19.00,19.39,19.25,18.21,18.08,19.15,18.89,19.14,,
Sweet Potatoes,Orange types,"40 lb cartons, U.S. No 1",Org,Atlanta,44.32,45.36,43.86,44.25,33.61,31.25,43.39,41.25,41.18,34.69,29.88,34.13,38.19,,
Sweet Potatoes,Orange types,"40 lb cartons, U.S. No 1",Conv,San Fran,21.00,21.00,21.62,24.32,N\A,25.00,25.00,28.60,28.05,27.18,26.00,25.44,24.63,,
Sweet Potatoes,Orange types,"40 lb cartons, U.S. No 1",Org,San Fran,28.50,28.50,30.04,32.50,N\A,30.00,30.00,47.39,42.41,39.86,32.26,30.44,34.08,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
